Uniprot	Pref_Name	Gene ID	Target_Class	Organism	Near_Neighbor_ChEMBLID	Near_Neighbor_Smiles	Near_Neighbor_Bioactive_organism	Near_Neighbor_conf_score	NN_activity	NN_Units	Input_Compound	Similarity
P21917	Dopamine D4 receptor	1815	GPCR	Homo sapiens	CHEMBL2207640	COc1ccccc1N1CCN(Cc2cc(CN3CCN(C)CC3)c3cccccc2-3)CC1	Homo sapiens	9	8.42	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.320987654321
P32239	Cholecystokinin B receptor	887	GPCR	Homo sapiens	CHEMBL105273	CCCN1C(=O)C(NC(=O)Nc2cccc(C(F)(F)F)c2)N=C(N2CCN(C)CC2)c2ccccc21	Homo sapiens	8	7.93	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.313131313131
Q15119	Pyruvate dehydrogenase kinase isoform 2	5164	Kinase	Homo sapiens	CHEMBL3671744	CN1CCN(c2ccc3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)CC1	Homo sapiens	8	5.54	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.3125
P34972	Cannabinoid CB2 receptor	1269	GPCR	Homo sapiens	CHEMBL226419	COc1ccccc1Nc1ncc(C(=O)NCc2ccccc2)c(C(F)(F)F)n1	Homo sapiens	9	6.8	EC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.311111111111
P28223	Serotonin 2a (5-HT2a) receptor	3356	GPCR	Homo sapiens	CHEMBL196598	COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1	Homo sapiens	9	6.21	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.311111111111
P28222	Serotonin 1b (5-HT1b) receptor	3351	GPCR	Homo sapiens	CHEMBL196598	COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1	Homo sapiens	9	7.55	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.311111111111
P28221	Serotonin 1d (5-HT1d) receptor	3352	GPCR	Homo sapiens	CHEMBL196598	COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1	Homo sapiens	9	6.46	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.311111111111
O43497	Voltage-gated T-type calcium channel alpha-1G subunit	8913	Ion_Channel	Homo sapiens	CHEMBL436133	COc1ccccc1-c1cc(CNCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)on1	Homo sapiens	9	5.69	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.309278350515
P21728	Dopamine D1 receptor	1812	GPCR	Homo sapiens	CHEMBL211910	COc1ccccc1CNN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21	Homo sapiens	9	7.22	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.308510638298
Q9BUB5	MAP kinase-interacting serine/threonine-protein kinase MNK1	8569	Kinase	Homo sapiens	CHEMBL2178352	CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1	Homo sapiens	9	5.17	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.307692307692
P17252	Protein kinase C alpha	5578	Kinase	Homo sapiens	CHEMBL2178352	CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1	Homo sapiens	9	5.17	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.307692307692
Q99705	Melanin-concentrating hormone receptor 1	2847	GPCR	Homo sapiens	CHEMBL2337744	COc1cc(N2Cc3ccc(-c4ccccc4F)nc3C2=O)ccc1OCCN1CCCC1	Homo sapiens	9	5.38	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.30612244898
Q00534	Cyclin-dependent kinase 6	1021	Kinase	Homo sapiens	CHEMBL3115681	CN1CCN(c2ccc(Nc3ncc4cc(C#N)c(=O)n(C5CCCC5)c4n3)cc2)CC1	Homo sapiens	7	8.01	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.305263157895
P21918	Dopamine D5 receptor	1816	GPCR	Homo sapiens	CHEMBL393492	COc1ccccc1N1CCN(CCCCN2Cc3ccccc3C2=O)CC1	Homo sapiens	9	7.12	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.302325581395
P12268	Inosine-5'-monophosphate dehydrogenase 2	3615	Oxidoreductases	Homo sapiens	CHEMBL69527	COc1cc(Nc2nc(-c3ccccc3)nc(N3CCN(C)CC3)n2)ccc1-c1cnco1	Homo sapiens	8	6.48	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.302083333333
P08913	Alpha-2a adrenergic receptor	150	GPCR	Homo sapiens	CHEMBL425069	COc1cccc(OC)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21	Homo sapiens	9	6.77	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.302083333333
Q16602	Calcitonin gene-related peptide type 1 receptor	10203	GPCR	Homo sapiens	CHEMBL384408	COC(=O)c1cn(C2CCN(C(=O)N[C@@H]3N=C(c4ccccc4)c4ccccc4N(CC(F)(F)F)C3=O)CC2)c(O)n1	Homo sapiens	9	6.96	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.301886792453
P18825	Alpha-2c adrenergic receptor	152	GPCR	Homo sapiens	CHEMBL216399	Cc1cc(Nc2ccc(N3CCN(C)CC3)cc2)c2ccccc2n1	Homo sapiens	9	6.16	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.301204819277
P42345	Serine/threonine-protein kinase mTOR	2475	Kinase	Homo sapiens	CHEMBL3945842	COc1cnc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc1N1CCOCC1	Homo sapiens	8	6.57	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.301075268817
P0C1S8	Wee1-like protein kinase 2	494551	Kinase	Homo sapiens	CHEMBL1976040	C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1	Homo sapiens	9	8.41	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.300970873786
P56817	Beta-secretase 1	23621	Protease	Homo sapiens	CHEMBL4204959	COc1cc(-c2nc3ccc(Br)cn3c2NC(C)(C)C)ccc1OCCCN1C(=O)c2ccccc2C1=O	Homo sapiens	9	7.83	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.3
O60755	Galanin receptor 3	8484	GPCR	Homo sapiens	CHEMBL1524322	CN1CCN(c2ccc(CNS(=O)(=O)Cc3cccc(C(F)(F)F)c3)cc2)CC1	Homo sapiens	8	5.68	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.298850574713
Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2	64127	Other	Homo sapiens	CHEMBL1468750	COc1ccccc1N1CCN(c2ncc(C(=O)N3CCN(c4cccc(Cl)c4)CC3)c3ccccc23)CC1	Homo sapiens	9	5.03	EC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.297872340426
P51946	Cyclin-dependent kinase 7/ cyclin H	902	Other	Homo sapiens	CHEMBL3087445	Cc1nc(N)sc1-c1nc(Nc2cccc(N3CCN(C)CC3)c2)ncc1F	Homo sapiens	7	6.32	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.297872340426
P50750	Cyclin-dependent kinase 9	1025	Kinase	Homo sapiens	CHEMBL3087445	Cc1nc(N)sc1-c1nc(Nc2cccc(N3CCN(C)CC3)c2)ncc1F	Homo sapiens	7	7.96	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.297872340426
O60563	Cyclin T1	904	Other	Homo sapiens	CHEMBL3087445	Cc1nc(N)sc1-c1nc(Nc2cccc(N3CCN(C)CC3)c2)ncc1F	Homo sapiens	7	7.96	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.297872340426
Q9UKP6	Urotensin II receptor	2837	GPCR	Homo sapiens	CHEMBL566187	COc1ccc(CN2C(=O)c3cccc(N4CCN(Cc5ccccc5)CC4)c3C2=O)cc1OC	Homo sapiens	9	6.8	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.296703296703
Q9H3N8	Histamine H4 receptor	59340	GPCR	Homo sapiens	CHEMBL3752225	COc1ccc(CNc2nc3c(c(N4CCN(C)CC4)n2)CCc2ccccc2-3)cc1	Homo sapiens	9	5.37	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.296703296703
P35367	Histamine H1 receptor	3269	GPCR	Homo sapiens	CHEMBL3752972	COc1ccc(CNc2nc3c(c(N4CCN(C)CC4)n2)-c2ccccc2CC3)cc1	Homo sapiens	9	5.97	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.296703296703
P78527	DNA-dependent protein kinase	5591	Kinase	Homo sapiens	CHEMBL4126773	COc1cc(-c2ccc3c(n2)[C@@H](C)N(c2cnn(CC(F)(F)F)c2)C3=O)cnc1OC	Homo sapiens	9	6.58	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.295918367347
P55201	Peregrin	7862	Other	Homo sapiens	CHEMBL3828504	COc1ccccc1C(=O)Nc1cc2c(cc1N1CCN(C)CC1)n(C)c(=O)n2C	Homo sapiens	9	6.7	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.295454545455
P15056	Serine/threonine-protein kinase B-raf	673	Kinase	Homo sapiens	CHEMBL507714	COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	Homo sapiens	8	7.1	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.295081967213
Q9UNQ0	ATP-binding cassette sub-family G member 2	9429	Transporter	Homo sapiens	CHEMBL1453808	COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)Nc1ccccc1N1CCOCC1	Homo sapiens	9	6.47	EC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.294736842105
P08183	P-glycoprotein 1	5243	Transporter	Homo sapiens	CHEMBL1453808	COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)Nc1ccccc1N1CCOCC1	Homo sapiens	9	6.37	EC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.294736842105
Q13946	Phosphodiesterase 7A	5150	Hydrolases	Homo sapiens	CHEMBL2019115	CCOc1cc(N2CCN(C)CC2)ccc1-c1nc2snc(C3CCCCC3)c2c(=O)[nH]1	Homo sapiens	9	7.06	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.292929292929
P07686	Beta-hexosaminidase subunit beta	3074	Hydrolases	Homo sapiens	CHEMBL2385921	COc1ccc(NCCNCCN2C(=O)c3cccc4cccc(c34)C2=O)c(OC)c1	Homo sapiens	5	5.33	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.292134831461
P06865	Beta-hexosaminidase subunit alpha	3073	Hydrolases	Homo sapiens	CHEMBL2385921	COc1ccc(NCCNCCN2C(=O)c3cccc4cccc(c34)C2=O)c(OC)c1	Homo sapiens	5	5.33	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.292134831461
P46098	Serotonin 3a (5-HT3a) receptor	3359	Ion_Channel	Homo sapiens	CHEMBL2169968	CN1CCN(c2ccc3ccccc3c2)CC1	Homo sapiens	9	6.27	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.291666666667
P49137	MAP kinase-activated protein kinase 2	9261	Kinase	Homo sapiens	CHEMBL1209066	CN1CCN(c2ccc(Nc3ccnc4ccc(-c5cccc(C(F)(F)F)c5)cc34)cc2)CC1	Homo sapiens	8	5.82	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.290322580645
P35346	Somatostatin receptor 5	6755	GPCR	Homo sapiens	CHEMBL1078903	CCOc1cc(N2CCC(Nc3nc4ccccc4s3)CC2)ccc1OC	Homo sapiens	9	6.48	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.290322580645
Q9Y233	Phosphodiesterase 10A	10846	Hydrolases	Homo sapiens	CHEMBL3644267	COc1ccc(-n2c(CCN3C(=O)c4cccc(OCC(F)(F)F)c4C3=O)nc3ccccc3c2=O)cc1	Homo sapiens	9	9.1	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.29
Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3	9451	Kinase	Homo sapiens	CHEMBL3943051	COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1noc(C(N)=O)c1C(C)(C)C2	Homo sapiens	8	6.4	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.289719626168
P22303	Acetylcholinesterase	43	Lipase	Homo sapiens	CHEMBL345847	CN1CCC(CCN2C(=O)c3ccccc3C2=O)CC1	Homo sapiens	8	9.05	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.289473684211
Q05513	Protein kinase C zeta	5590	Kinase	Homo sapiens	CHEMBL516244	COc1ccccc1-c1ccc2c(-c3nc4c(N5CCN(C)CC5)cccc4[nH]3)n[nH]c2c1	Homo sapiens	9	5.26	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.288659793814
P30542	Adenosine A1 receptor	134	GPCR	Homo sapiens	CHEMBL1096134	CN1CCN(c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	Homo sapiens	8	7.45	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287356321839
P29274	Adenosine A2a receptor	135	GPCR	Homo sapiens	CHEMBL1096134	CN1CCN(c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1	Homo sapiens	8	8.57	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287356321839
P15559	Quinone reductase 1)	1728	Oxidoreductases	Homo sapiens	CHEMBL4160306	CN1CCN(c2ccc(NC3=CC(=O)c4cccnc4C3=O)cc2)CC1	Homo sapiens	9	6.36	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287356321839
P32246	C-C chemokine receptor type 1	1230	GPCR	Homo sapiens	CHEMBL2322864	COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3C(F)(F)F)CC2)ccc1Cl	Homo sapiens	9	6.13	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287234042553
Q16288	NT-3 growth factor receptor	4916	Kinase	Homo sapiens	CHEMBL1973961	COc1cc(N2CCN(C)CC2)ccc1C(=O)Nc1n[nH]c2ccc(Cc3cc(F)cc(F)c3)cc12	Homo sapiens	8	6.3	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287128712871
O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	3417	Oxidoreductases	Homo sapiens	CHEMBL3950128	CC(O)[C@H]1COC(=O)N1c1nc(N[C@@H](C)C2CCN(c3ccc(Cl)c(OC(F)(F)F)c3)CC2)ncc1F	Homo sapiens	8	8.3	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.287037037037
P51684	C-C chemokine receptor type 6	1235	GPCR	Homo sapiens	CHEMBL1504403	COc1ccc(N2C(=O)/C(=C\\NNc3nc(C)cc(C)n3)c3ccccc3C2=O)cc1OC	Homo sapiens	9	6.23	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.285714285714
P41595	Serotonin 2b (5-HT2b) receptor	3357	GPCR	Homo sapiens	CHEMBL396748	COc1ccc(N2Cc3cccc(C(F)(F)F)c3C2=O)cc1OCCN1CCC(C)CC1	Homo sapiens	9	6.3	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.285714285714
Q96KQ7	Histone-lysine N-methyltransferase, H3 lysine-9 specific 3	10919	Transferases	Homo sapiens	CHEMBL3621580	COc1cc2nc(N3CCN(C)CC3)cc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC	Homo sapiens	9	7.68	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.284210526316
P25103	Neurokinin 1 receptor	6869	GPCR	Homo sapiens	CHEMBL206171	Cc1ccccc1-c1cc(N2CCN(C)CC2)ccc1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1	Homo sapiens	9	8.85	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.284210526316
P08246	Leukocyte elastase	1991	Protease	Homo sapiens	CHEMBL551526	CCc1cc(OC)cc2nc(-c3cccnc3N3CCN(C)CC3)oc(=O)c12	Homo sapiens	9	7.7	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.284210526316
Q9BWU1	Cell division cycle 2-like protein kinase 6	23097	Kinase	Homo sapiens	CHEMBL1983106	COc1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1Br	Homo sapiens	8	5.3	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.284090909091
Q9NR96	Toll-like receptor 9	54106	Other	Homo sapiens	CHEMBL4284406	COc1cc2c(N3CCN(C)CC3)nc(N(C)C)nc2cc1OCc1ccccc1	Homo sapiens	9	6.58	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.282608695652
Q99720	Sigma opioid receptor	10280	Transporter	Homo sapiens	CHEMBL294144	COc1cccc2c1CCC(=O)N2CCCN1CCN(c2cccc(Cl)c2)CC1	Homo sapiens	9	7.33	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.282608695652
P30838	Aldehyde dehydrogenase dimeric NADP-preferring	218	Oxidoreductases	Homo sapiens	CHEMBL467080	CN1CCN(CN2C(=O)C(=O)c3ccccc32)CC1	Homo sapiens	9	5.8	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.282051282051
Q15858	Sodium channel protein type IX alpha subunit	6335	Ion_Channel	Homo sapiens	CHEMBL2296306	COc1cc2c(cc1F)OCC21C(=O)N(Cc2ccccn2)c2ccccc21	Homo sapiens	9	6.33	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.28125
O43614	Orexin receptor 2	3062	GPCR	Homo sapiens	CHEMBL3622337	COc1ncc(C(F)(F)F)c(N2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)CC2)n1	Homo sapiens	9	6.61	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.28
P11137	Microtubule-associated protein 2	4133	Other	Homo sapiens	CHEMBL3586457	CN1CCN(c2ccc(-c3cnc4c5[nH]ncc5c(=O)n(CC(F)(F)F)c4c3)cn2)CC1	Homo sapiens	9	5.3	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.278350515464
Q13255	Metabotropic glutamate receptor 1	2911	GPCR	Homo sapiens	CHEMBL3634449	COc1cc(N2C(=O)c3ccccc3C2=O)ccc1NC(=O)c1occc1C	Homo sapiens	9	6.48	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277777777778
P41594	Metabotropic glutamate receptor 5	2915	GPCR	Homo sapiens	CHEMBL394655	COc1ccc(NC(=O)c2ccccn2)c(CN2C(=O)c3ccccc3C2=O)c1	Homo sapiens	9	5.85	EC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277777777778
P30518	Vasopressin V2 receptor	554	GPCR	Homo sapiens	CHEMBL448269	CN1CCN(c2ccc(C(=O)N3CCC(F)(F)/C(=C\\C(=O)NCc4ccccn4)c4ccccc43)c(Cl)c2)CC1.Cl	Homo sapiens	9	6.77	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277777777778
P11169	Solute carrier family 2, facilitated glucose transporter member 3	6515	Transporter	Homo sapiens	CHEMBL3781151	COc1ccccc1N1CCN(c2ncnc3c2cnn3-c2ccc(F)cc2)CC1	Homo sapiens	9	7.34	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277777777778
P04062	Beta-glucocerebrosidase	2629	Hydrolases	Homo sapiens	CHEMBL394672	COc1ccc(Nc2nc(NCCO)nc(N3CCCC3)n2)c(OC)c1	Homo sapiens	8	5.31	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277777777778
Q14524	Sodium channel protein type V alpha subunit	6331	Ion_Channel	Homo sapiens	CHEMBL2069401	CN1CCN(c2cccc3c2C[C@H](NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)CC1	Homo sapiens	9	5.3	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277227722772
P11712	Cytochrome P450 2C9	1559	Oxidoreductases	Homo sapiens	CHEMBL279841	COc1ccccc1N1CCN(CCCCN2C(=O)CCC2=O)CC1	Homo sapiens	8	5.4	AC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.277108433735
O43613	Orexin receptor 1	3061	GPCR	Homo sapiens	CHEMBL3741125	COc1cc(N2C(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc3S2(=O)=O)cnc1OC	Homo sapiens	9	7.9	Ki	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.276595744681
